SampleID,EOVXX,EOVYY,OID_,esrignss_l,esrignss_1,esrignss_a,Medián_As,Medián_Ca,Medián_Cd,Medián_Co,Medián_Cr,Medián_Cu,Medián_Fe,Medián_K,Medián_Mn,Medián_Mo,Medián_Ni,Medián_Pb,Medián_Ti,Medián_V,Medián_Zn
08_0032_S,842033.6343,246413.5953,293,47.53345702,21.59839502,117.6635222,14.40881824,32243.31055,2.95920825,8.722234726,43.52012634,61.64456177,10972.80371,8224.779297,495.5779724,1.941113591,,49.81372833,2162.190186,59.08452988,164.1268463
08_0033_S,841913.5224,246376.211,294,47.53315617,21.59678442,115.6500324,12.93224907,27828.70117,1.693257809,11.79148293,84.53836823,58.9629364,14462.52734,12512.17969,539.234314,1.199354291,18.84968376,35.7660675,2693.567139,85.29919434,232.8340454
08_0034_S,841816.7929,246191.1147,295,47.53152052,21.59542032,116.7950585,9.877278328,28933.13867,2.005932808,7.461891174,90.44250488,32.04348755,8787.051758,9964.500977,390.1111755,1.233028531,17.09446716,6.692295551,2791.79126,98.95841217,113.8569641
08_0035_S,841689.5847,246145.8808,296,47.53115113,21.5937122,114.2536342,13.5577898,30743.16016,1.456846237,8.010452271,69.31190491,29.05243492,10162.08008,10648.66113,381.0341187,1.16996491,15.0467186,41.98617554,2497.923828,79.50436401,135.9064789
08_0036_S,841538.664,246145.242,297,47.53118956,21.59170862,114.3163472,10.91014957,38648.00391,1.825445652,7.465256691,73.97306824,32.76546478,8930.266602,10140.42676,415.1811829,1.408748388,15.0467186,15.91762829,2182.318115,69.57039642,104.6759415
08_0037_S,841538.0373,246268.8175,298,47.53230068,21.59175369,113.6780966,24.85390854,30100.38672,3.935362577,10.12224197,30.77961731,22.34836578,12342.03613,5318.730957,402.6461792,2.557664394,,148.5666809,1626.788086,41.7000618,131.2407074
07_0028_S,841048.325,246163.3274,299,47.53149543,21.58520769,113.3296853,7.520586014,25451.28125,0.968768418,5.896978855,59.67882538,336.9455872,7504.050293,9606.129883,336.9455872,1.019654632,14.46165752,,3012.393066,96.33695221,42.81689453
07_0029_S,840892.2802,246272.395,300,47.53252146,21.5831833,115.2409766,12.33580256,30936.8291,2.194045782,9.556854248,88.42266083,495.3618011,11571.80811,10417.34961,495.3618011,1.313388884,15.19298983,29.82550812,2772.065796,93.23257446,87.63084412
07_0030_S,840858.273,246208.1665,301,47.53195396,21.58270423,115.1587427,10.34279728,27805.66992,2.682122946,8.468147278,91.99621582,336.9455872,9572.663086,10133.90918,336.9455872,1.397421956,8.123394966,10.67596436,2769.248047,99.92421722,131.3159637
07_0031_S,840785.8935,246352.6976,302,47.53327439,21.58180565,115.966036,13.48505306,30007.2168,1.474639893,11.06623745,104.4259872,483.0429993,13279.41797,12440.50586,483.0429993,1.092208266,22.26258469,40.7281723,3239.435547,108.3404999,128.1552734
07_0032_S,840701.6482,246314.1689,303,47.53295257,21.58067077,116.3165909,10.51736641,26755.66797,2.954124212,7.162370682,19.28210068,306.6886902,9060.925781,7977.179688,306.6886902,1.976624727,,12.2135191,1699.248535,42.66586685,72.61760712
06_0114_S,843524.8723,249029.6901,304,47.556536,21.61933267,165.02,,,,,,,,,,,,,,,
07_0033_S,840332.6497,246064.6552,305,47.53081683,21.57566541,115.4332617,9.433579445,23931.24023,1.487350583,8.927523613,96.65737915,392.7046509,10232.58301,11847.56836,392.7046509,1.121596575,16.02184296,2.28930068,2385.207275,79.36639404,61.02843475
07_0034_S,839920.9225,246432.1044,306,47.53423978,21.57035758,114.4376081,8.786216736,26607.01367,1.739015579,9.296035767,69.31190491,475.2626343,11376.78418,12349.28516,475.2626343,1.324868321,16.8019352,,2321.603271,75.08926392,59.89962006
06_0116_S,843399.6895,248783.3344,307,47.55435833,21.61756267,174.7,,,,,,,,,,,,,,,
07_0035_S,839182.1527,246302.162,308,47.53328551,21.56049508,116.8388073,9.266283989,24343.70313,1.914418459,9.755413055,74.9052887,490.8233032,11770.9707,12075.62012,490.8233032,1.388237953,21.48249245,0.472189963,2386.012695,87.50674438,52.97622681
06_0117_S,843287.595,248677.6825,309,47.55344167,21.616028,172.84,,,,,,,,,,,,,,,
07_0036_S,840646.9069,245300.2483,310,47.52385339,21.57950818,115.4578924,8.524362564,24459.9043,1.995764613,9.05036068,78.94496918,486.933136,10996.39648,10674.72363,486.933136,1.553549647,11.43878555,,2520.467041,90.40415192,49.13825607
06_0118_S,843727.78,247895.4777,311,47.54627967,21.62153133,169.48,,,,,,,,,,,,,,,
07_0037_S,841245.9006,245026.2543,312,47.52121551,21.58733992,112.1326928,7.62241888,27437.17383,2.115241766,6.130874634,44.14162445,301.9340515,7861.259766,11254.62891,301.9340515,1.607735276,3.832878828,,2011.633667,58.39466476,49.36401367
07_0038_S,841311.766,244828.4428,313,47.51941795,21.58812873,111.5577885,8.095211983,22819.47461,3.915025234,6.842657566,16.17465401,339.1067505,8879.629883,4562.897461,339.1067505,2.625932217,,,1630.813599,30.24839211,36.64603806
07_0039_S,841095.0697,244638.0283,314,47.5177694,21.58517093,111.7735007,9.571781158,24108.1582,1.131460667,10.46214771,91.37471771,537.5053711,12043.05176,14447.37598,537.5053711,1.029144645,26.55310059,3.33763361,2844.928955,100.0621872,73.82167053
